RUN	pokemonapi.PokemonTestApi	pokemontestapi	1720996390955	 	3.11.5
USER	Prokemon API Test	START	1720996391602
REQUEST		Get onix	1720996391619	1720996391693	OK	 
USER	Prokemon API Test	END	1720996391836
USER	Prokemon API Test	START	1720996391837
REQUEST		Get ditto	1720996391838	1720996391876	OK	 
USER	Prokemon API Test	END	1720996391881
USER	Prokemon API Test	START	1720996391882
REQUEST		Get pikachu	1720996391883	1720996391942	OK	 
USER	Prokemon API Test	END	1720996391958
USER	Prokemon API Test	START	1720996391959
REQUEST		Get charmander	1720996391960	1720996392018	OK	 
USER	Prokemon API Test	END	1720996392031
USER	Prokemon API Test	START	1720996392032
REQUEST		Get psyduck	1720996392033	1720996392087	OK	 
USER	Prokemon API Test	END	1720996392094
USER	Prokemon API Test	START	1720996392094
REQUEST		Get butterfree	1720996392095	1720996392153	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996392167
USER	Prokemon API Test	START	1720996392168
REQUEST		Get onix	1720996392169	1720996392220	OK	 
USER	Prokemon API Test	END	1720996392230
USER	Prokemon API Test	START	1720996392230
REQUEST		Get ditto	1720996392231	1720996392266	OK	 
USER	Prokemon API Test	END	1720996392268
USER	Prokemon API Test	START	1720996392268
REQUEST		Get pikachu	1720996392268	1720996392320	OK	 
USER	Prokemon API Test	END	1720996392325
USER	Prokemon API Test	START	1720996392326
REQUEST		Get charmander	1720996392326	1720996392381	OK	 
USER	Prokemon API Test	END	1720996392387
USER	Prokemon API Test	START	1720996392387
REQUEST		Get psyduck	1720996392388	1720996392436	OK	 
USER	Prokemon API Test	END	1720996392441
USER	Prokemon API Test	START	1720996392442
REQUEST		Get butterfree	1720996392443	1720996392491	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996392496
USER	Prokemon API Test	START	1720996392496
REQUEST		Get onix	1720996392497	1720996392542	OK	 
USER	Prokemon API Test	END	1720996392547
USER	Prokemon API Test	START	1720996392547
REQUEST		Get ditto	1720996392548	1720996392643	OK	 
USER	Prokemon API Test	END	1720996392645
USER	Prokemon API Test	START	1720996392645
REQUEST		Get pikachu	1720996392646	1720996392693	OK	 
USER	Prokemon API Test	END	1720996392696
USER	Prokemon API Test	START	1720996392697
REQUEST		Get charmander	1720996392697	1720996392744	OK	 
USER	Prokemon API Test	END	1720996392748
USER	Prokemon API Test	START	1720996392748
REQUEST		Get psyduck	1720996392748	1720996392794	OK	 
USER	Prokemon API Test	END	1720996392799
USER	Prokemon API Test	START	1720996392799
REQUEST		Get butterfree	1720996392799	1720996392865	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996392869
USER	Prokemon API Test	START	1720996392870
REQUEST		Get onix	1720996392870	1720996392924	OK	 
USER	Prokemon API Test	END	1720996392927
USER	Prokemon API Test	START	1720996392928
REQUEST		Get ditto	1720996392928	1720996392958	OK	 
USER	Prokemon API Test	END	1720996392960
USER	Prokemon API Test	START	1720996392960
REQUEST		Get pikachu	1720996392960	1720996393017	OK	 
USER	Prokemon API Test	END	1720996393021
USER	Prokemon API Test	START	1720996393022
REQUEST		Get charmander	1720996393023	1720996393081	OK	 
USER	Prokemon API Test	END	1720996393087
USER	Prokemon API Test	START	1720996393087
REQUEST		Get psyduck	1720996393088	1720996393143	OK	 
USER	Prokemon API Test	END	1720996393147
USER	Prokemon API Test	START	1720996393148
REQUEST		Get butterfree	1720996393148	1720996393189	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996393194
USER	Prokemon API Test	START	1720996393194
REQUEST		Get onix	1720996393195	1720996393245	OK	 
USER	Prokemon API Test	END	1720996393249
USER	Prokemon API Test	START	1720996393249
REQUEST		Get ditto	1720996393250	1720996393289	OK	 
USER	Prokemon API Test	END	1720996393291
USER	Prokemon API Test	START	1720996393292
REQUEST		Get pikachu	1720996393292	1720996393342	OK	 
USER	Prokemon API Test	END	1720996393345
USER	Prokemon API Test	START	1720996393345
REQUEST		Get charmander	1720996393346	1720996393405	OK	 
USER	Prokemon API Test	END	1720996393410
USER	Prokemon API Test	START	1720996393410
REQUEST		Get psyduck	1720996393411	1720996393467	OK	 
USER	Prokemon API Test	END	1720996393470
USER	Prokemon API Test	START	1720996393470
REQUEST		Get butterfree	1720996393471	1720996393518	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996393522
USER	Prokemon API Test	START	1720996393523
REQUEST		Get onix	1720996393523	1720996393580	OK	 
USER	Prokemon API Test	END	1720996393584
USER	Prokemon API Test	START	1720996393585
REQUEST		Get ditto	1720996393585	1720996393619	OK	 
USER	Prokemon API Test	END	1720996393621
USER	Prokemon API Test	START	1720996393621
REQUEST		Get pikachu	1720996393621	1720996393745	OK	 
USER	Prokemon API Test	END	1720996393749
USER	Prokemon API Test	START	1720996393749
REQUEST		Get charmander	1720996393750	1720996393802	OK	 
USER	Prokemon API Test	END	1720996393806
USER	Prokemon API Test	START	1720996393806
REQUEST		Get psyduck	1720996393806	1720996393854	OK	 
USER	Prokemon API Test	END	1720996393858
USER	Prokemon API Test	START	1720996393858
REQUEST		Get butterfree	1720996393858	1720996393911	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996393915
USER	Prokemon API Test	START	1720996393915
REQUEST		Get onix	1720996393916	1720996393970	OK	 
USER	Prokemon API Test	END	1720996393974
USER	Prokemon API Test	START	1720996393974
REQUEST		Get ditto	1720996393975	1720996394005	OK	 
USER	Prokemon API Test	END	1720996394006
USER	Prokemon API Test	START	1720996394007
REQUEST		Get pikachu	1720996394007	1720996394060	OK	 
USER	Prokemon API Test	END	1720996394064
USER	Prokemon API Test	START	1720996394064
REQUEST		Get charmander	1720996394065	1720996394113	OK	 
USER	Prokemon API Test	END	1720996394117
USER	Prokemon API Test	START	1720996394117
REQUEST		Get psyduck	1720996394118	1720996394172	OK	 
USER	Prokemon API Test	END	1720996394176
USER	Prokemon API Test	START	1720996394176
REQUEST		Get butterfree	1720996394176	1720996394247	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996394251
USER	Prokemon API Test	START	1720996394251
REQUEST		Get onix	1720996394251	1720996394299	OK	 
USER	Prokemon API Test	END	1720996394303
USER	Prokemon API Test	START	1720996394303
REQUEST		Get ditto	1720996394303	1720996394335	OK	 
USER	Prokemon API Test	END	1720996394336
USER	Prokemon API Test	START	1720996394336
REQUEST		Get pikachu	1720996394337	1720996394389	OK	 
USER	Prokemon API Test	END	1720996394393
USER	Prokemon API Test	START	1720996394393
REQUEST		Get charmander	1720996394393	1720996394446	OK	 
USER	Prokemon API Test	END	1720996394459
USER	Prokemon API Test	START	1720996394459
REQUEST		Get psyduck	1720996394460	1720996394508	OK	 
USER	Prokemon API Test	END	1720996394512
USER	Prokemon API Test	START	1720996394512
REQUEST		Get butterfree	1720996394512	1720996394561	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996394564
USER	Prokemon API Test	START	1720996394565
REQUEST		Get onix	1720996394565	1720996394617	OK	 
USER	Prokemon API Test	END	1720996394619
USER	Prokemon API Test	START	1720996394620
REQUEST		Get ditto	1720996394620	1720996394668	OK	 
USER	Prokemon API Test	END	1720996394669
USER	Prokemon API Test	START	1720996394670
REQUEST		Get pikachu	1720996394670	1720996394719	OK	 
USER	Prokemon API Test	END	1720996394722
USER	Prokemon API Test	START	1720996394722
REQUEST		Get charmander	1720996394723	1720996394774	OK	 
USER	Prokemon API Test	END	1720996394777
USER	Prokemon API Test	START	1720996394778
REQUEST		Get psyduck	1720996394778	1720996394828	OK	 
USER	Prokemon API Test	END	1720996394831
USER	Prokemon API Test	START	1720996394832
REQUEST		Get butterfree	1720996394832	1720996394875	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996394878
USER	Prokemon API Test	START	1720996394878
REQUEST		Get onix	1720996394879	1720996394936	OK	 
USER	Prokemon API Test	END	1720996394939
USER	Prokemon API Test	START	1720996394940
REQUEST		Get ditto	1720996394940	1720996394969	OK	 
USER	Prokemon API Test	END	1720996394970
USER	Prokemon API Test	START	1720996394970
REQUEST		Get pikachu	1720996394971	1720996395030	OK	 
USER	Prokemon API Test	END	1720996395033
USER	Prokemon API Test	START	1720996395033
REQUEST		Get charmander	1720996395034	1720996395079	OK	 
USER	Prokemon API Test	END	1720996395082
USER	Prokemon API Test	START	1720996395082
REQUEST		Get psyduck	1720996395083	1720996395135	OK	 
USER	Prokemon API Test	END	1720996395139
USER	Prokemon API Test	START	1720996395139
REQUEST		Get butterfree	1720996395139	1720996395194	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996395198
USER	Prokemon API Test	START	1720996395198
REQUEST		Get onix	1720996395199	1720996395249	OK	 
USER	Prokemon API Test	END	1720996395252
USER	Prokemon API Test	START	1720996395252
REQUEST		Get ditto	1720996395253	1720996395293	OK	 
USER	Prokemon API Test	END	1720996395294
USER	Prokemon API Test	START	1720996395295
